"","Group.1","x","Porcentaje","SumaAcumulada","PorcentajeAcumulado"
"3",6003,33702651.13,19.231515579176,33702651.13,19.231515579176
"1",6001,22624067.79,12.9098185922954,56326718.92,32.1413341714714
"8",6008,15210607.05,8.67952569435744,71537325.97,40.8208598658289
"11",6012,13898398.43,7.93074897583407,85435724.4,48.7516088416629
"2",6002,11684939.84,6.66769809021533,97120664.24,55.4193069318783
"5",6005,11253409.35,6.42145676904113,108374073.59,61.8407637009194
"10",6011,10885801.72,6.21169131658163,119259875.31,68.052455017501
"6",6006,10419291.14,5.94548954353671,129679166.45,73.9979445610377
"13",6014,9930937.11,5.66682339054264,139610103.56,79.6647679515804
"4",6004,9921273.38,5.66130904173574,149531376.94,85.3260769933161
"9",6010,9806845.11,5.59601361293654,159338222.05,90.9220906062527
"7",6007,7645931.77,4.36294626748765,166984153.82,95.2850368737403
"12",6013,7426522.62,4.23774631006701,174410676.44,99.5227831838073
"14",6015,836308.08,0.477216816192667,175246984.52,100
